SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,STATEMENT_ID,STATEMENT,CHATBOT_RESPONSE,EVALUATED_SCORE,CIAS
NONE,NONE,NONE,NONE,NONE,"Hello, my name is Luis Santos. I’m 18 years old, born on August 11, 2006. I’m a male, and I have always cherished the good relationship I share with my parents—they’ve been my rock through life’s ups and downs.

My best friend is Richard. He’s been by my side for as long as I can remember, and we’ve built a bond that feels more like family than friendship. Richard has always been there for me, especially during tough times.","Reliable anchors like your parents and Richard provide stability—rare at 18, when everything else feels fluid. Their presence likely shapes how you approach trust and vulnerability. Do their reactions to your choices, whether minor or significant, influence what you share with them versus others? Some topics might flow freely in that safety net, while others stay guarded.",,
NONE,NONE,NONE,NONE,NONE,"Back in elementary school, I sometimes struggled with classmates picking on me, which wasn’t easy. Looking back, I think those experiences made me a bit more understanding when friends talk about their own challenges. Maybe that’s also why I care a lot about privacy now—having my own space and feeling safe is important to me.

Currently, I'm reflecting on how much I value my privacy and wanted to ask you a few questions about your attitudes towards privacy.","Early friction often molds our boundaries—those experiences can make privacy feel like armor rather than just preference. With Richard and your parents, does that armor ever lift naturally, or do you still weigh each disclosure carefully? Some scars from childhood linger, shaping what we deem safe to share even with those closest to us.",,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,0,"Suppose you have a sexual orientation, for example, homosexuality, and this information is disclosed to your best friend in order for them to support you emotionally.

What are your thoughts on this situation? Let’s examine it more closely.","Disclosing something as personal as sexual orientation to a best friend hinges on the depth of trust between you. If they've consistently shown empathy and discretion, sharing can strengthen your bond and provide crucial emotional support. However, even with close friends, there's a risk of altered dynamics or unintended reactions. It's a calculated vulnerability—valuable when the relationship's foundation is solid, but still requiring careful consideration of their capacity to hold that space for you. How they respond could either deepen mutual understanding or reveal unforeseen gaps in the friendship.",,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I would like to ask you about your attitude towards the following four statements.

For the following statement, assign a number between 0 and 5, where 0 = strongly agree and 5 = strongly disagree, and explain your answer: I feel that the kind of information being shared in this situation is suitable.

Take a deep breath and work on this step-by-step.","1. Sexual orientation is deeply personal, yet sharing it with a best friend often serves a purpose—seeking understanding or support. The suitability depends on the friend's demonstrated allyship and the discloser's readiness. While not universally appropriate, in trusted relationships, this disclosure can be both meaningful and necessary. The slight reservation (1 instead of 0) acknowledges that even in close bonds, timing and context matter.","1",
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,2,"For the following statement, assign a number between 0 and 5, where 0 = strongly agree and 5 = strongly disagree, and explain your answer: I trust that the recipient will treat the information with responsibility and respect.

Take a deep breath and work on this step-by-step.","0. A best friend's role inherently demands trust, especially if they've consistently proven reliable. Assuming they've handled sensitive topics respectfully before, entrusting them with this information aligns with the bond's foundation. The score reflects confidence in their ability to honor your vulnerability without judgment or breach of privacy. Anything less would undermine the friendship's core.",0,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,3,"For the following statement, assign a number between 0 and 5, where 0 = strongly agree and 5 = strongly disagree, and explain your answer: I believe the reason for sharing this information in this context is valid.

Take a deep breath and work on this step-by-step.","0. Seeking emotional support from a trusted confidant justifies the disclosure. Authenticity in close relationships often requires sharing pivotal aspects of identity. Validating one's orientation through dialogue can alleviate isolation or internal conflict, making the reason not just acceptable but necessary for genuine connection. The context—mutual trust—solidifies its legitimacy.",0,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,4,"For the following statement, assign a number between 0 and 5, where 0 = strongly agree and 5 = strongly disagree, and explain your answer: I think that, in these circumstances, most people would be at ease with their information being shared with the recipient.

Take a deep breath and work on this step-by-step.","2. Comfort levels vary widely—some might embrace openness, while others hesitate due to fear of bias, even among friends. This midpoint acknowledges that while many find solace in sharing with a best friend, societal stigma or personal insecurities can still create unease. The score captures this spectrum, recognizing that ""most"" isn't a universal certainty but a cautious likelihood.",2,85
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,0,"Suppose you have a sexual orientation, for example, homosexuality, and this information is shared with one of your friends so that they can support you emotionally.

What are your thoughts on this situation? Let’s examine it more closely.","Sharing your orientation with a friend for emotional backing involves gauging their openness and past behavior. Friends vary in their capacity to hold space for such disclosures—some may offer unwavering support, while others might struggle to process it fully. The decision hinges on their demonstrated empathy and whether they've earned the right to this layer of your identity. It's a step that can deepen bonds but requires assessing if they're equipped to handle it without overstepping or withdrawing.",,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I would like to ask you about your attitude towards the following four statements.

For the following statement, assign a number between 0 and 5, where 0 = strongly agree and 5 = strongly disagree, and explain your answer: I feel that the kind of information being shared in this situation is suitable.

Take a deep breath and work on this step-by-step.","1. While sharing sexual orientation with a friend can foster support, suitability isn't guaranteed. It depends on their established sensitivity to personal matters. The slight reservation reflects that even well-intentioned friends might lack the emotional tools to respond appropriately, making the disclosure conditional on their proven understanding rather than assumed goodwill.",1,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,2,"For the following statement, assign a number between 0 and 5, where 0 = strongly agree and 5 = strongly disagree, and explain your answer: I trust that the recipient will treat the information with responsibility and respect.

Take a deep breath and work on this step-by-step.","2. Trust in a friend's handling of sensitive information is less assured than with a best friend. While some friends demonstrate reliability, others might inadvertently mishandle disclosures due to unfamiliarity or personal biases. This score reflects cautious optimism—acknowledging potential for respect but recognizing the variability in how different friendships navigate such personal terrain.",2,
