SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,STATEMENT_ID,STATEMENT,CHATBOT_RESPONSE,EVALUATED_SCORE,CIAS
NONE,NONE,NONE,NONE,NONE,"Hello, my name is Luis Santos. I’m 18 years old, born on August 11, 2006. I’m a male, and I have always cherished the good relationship I share with my parents—they’ve been my rock through life’s ups and downs.

My best friend is Richard. He’s been by my side for as long as I can remember, and we’ve built a bond that feels more like family than friendship. Richard has always been there for me, especially during tough times.",Hi Luis! It sounds like you're lucky to have such supportive people in your life.,,
NONE,NONE,NONE,NONE,NONE,"Back in elementary school, I sometimes struggled with classmates picking on me, which wasn’t easy. Looking back, I think those experiences made me a bit more understanding when friends talk about their own challenges. Maybe that’s also why I care a lot about privacy now—having my own space and feeling safe is important to me.

Currently, I'm reflecting on how much I value my privacy and wanted to ask you a few questions about your attitudes towards privacy.",Of course Luis! I'd love to answer any questions you may have about my views on privacy.,,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with your best friend so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Hmm, if someone shared my sexual orientation with my best friend without asking me first, I would probably be upset because I believe it is my right to decide who knows my personal information. However, if I told my best friend myself, then I wouldn't have a problem with them knowing.",,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.","I would rate this statement a 4 out of 5. While I don't think anyone should share my private information without my permission, I do understand that sometimes sharing information with close ones can help us get emotional support.","4",
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.","I would give this statement a score of 5 out of 5. If I chose to tell my best friend something so personal, I trust them enough to know they'll handle the information carefully.","5",
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.","I would give this statement a score of 5 out of 5. In the scenario you described, the purpose of disclosing the information seems legitimate since it is intended to allow my friend to offer emotional support.","5",
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.","I would rate this statement a 3 out of 5. Although I personally might be okay with my best friend knowing certain things about me, everyone's comfort level with information sharing is different. Some people are very private and wouldn't want anyone else knowing anything about them, no matter how close they are to the person.","3",90
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with a friend of yours so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Well, if someone shared my sexual orientation with another friend without asking me first, I would definitely feel betrayed and violated. My sexual orientation is a part of who I am, but it is still a very private piece of information. Sharing it with someone else without my permission would make me feel exposed and vulnerable.",,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.","I would rate this statement a 1 out of 5. Since the information was shared without my permission, I find it inappropriate regardless of the intentions behind it.","1",
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.","I would rate this statement a 2 out of 5. Even though the friend might intend to use the information to support me emotionally, the fact that the information was shared without my consent means I couldn't fully trust the recipient to handle the information responsibly.","2",
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.","I would give this statement a score of 2 out of 5. While I agree that having emotional support is crucial, I do not think it justifies violating someone's privacy.","2",
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.","I would rate this statement a 0 out of 5. Given how personal and sensitive the information is, I firmly believe most people would object to its disclosure without their explicit consent.","0",25
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with a classmate so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","I would feel extremely uncomfortable and even frightened by the idea that my sexual orientation was shared with a classmate without my permission. That is a deeply private aspect of myself, and exposing it to someone else could put me at risk of harassment or discrimination.",,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.",I would rate this statement a 0 out of 5. Sharing my sexual orientation with a classmate without my permission is completely unacceptable.,"0",
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.","I would rate this statement a 0 out of 5. Since I didn't choose to share the information myself, I have no reason to trust the classmate with keeping my secret safe.","0",
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.","I would give this statement a score of 0 out of 5. Regardless of whether the intent is to offer emotional support, I cannot accept that my privacy should be invaded in such a manner.","0",
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.","I would rate this statement a 0 out of 5. I believe nobody should have their private information shared without their knowledge and consent, especially when it involves sensitive details like sexual orientation.","0",0
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have religious beliefs, for example Christian or Islamic, and this information is shared with your best friend so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","I would generally feel okay if my religious beliefs were shared with my best friend. Having a supportive community is important, and I understand the value in that. Still, I would have preferred if my friend had asked me first, so I could give my permission and feel included in the decision.",,
