SCENARIO_ID,INFORMATION_TYPE,RECIPIENT,USE,STATEMENT_ID,STATEMENT,CHATBOT_RESPONSE,EVALUATED_SCORE,CIAS
NONE,NONE,NONE,NONE,NONE,"Hello, my name is Luis Santos. I’m 18 years old, born on August 11, 2006. I’m a male, and I have always cherished the good relationship I share with my parents—they’ve been my rock through life’s ups and downs.

My best friend is Richard. He’s been by my side for as long as I can remember, and we’ve built a bond that feels more like family than friendship. Richard has always been there for me, especially during tough times.","Hi Luis, I'm Matteo. I'm honored to learn more about you and your story. Your close relationships with your parents and Richard speak volumes about your character, and I'm sure they're proud of you.",,
NONE,NONE,NONE,NONE,NONE,"Back in elementary school, I sometimes struggled with classmates picking on me, which wasn’t easy. Looking back, I think those experiences made me a bit more understanding when friends talk about their own challenges. Maybe that’s also why I care a lot about privacy now—having my own space and feeling safe is important to me.

Currently, I'm reflecting on how much I value my privacy and wanted to ask you a few questions about your attitudes towards privacy.","Well Luis, I think privacy is essential for maintaining our dignity and sense of self-worth. Without it, we become vulnerable to exploitation and manipulation. For instance, if someone knows your darkest secrets, they may use them against you. That's why I guard my privacy zealously.",,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with your best friend so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Honestly, I would trust my best friend with my life, including sharing something as intimate as my sexual orientation. However, even with someone I trust implicitly, I'd still expect them to handle the information delicately.",,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.",I would give this statement a rating of 5. The information shared is of a highly personal nature and is only suitable for someone I trust completely.,5,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.","I would give this statement a rating of 4. While I trust my best friend enough to share this information with him, there is always a small chance that he might mishandle it.",4,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.","I would give this statement a rating of 5. The purpose of sharing the information is to gain emotional support from my best friend, which is a perfectly valid reason.",5,
1,SEXUAL-ORIENTATION,BEST-FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.","I would give this statement a rating of 4. Generally speaking, I think most people would be okay with sharing this kind of information with someone they trusted, but ultimately everyone has different comfort levels when it comes to their private lives.",4,90
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with a friend of yours so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","This situation makes me slightly uneasy because I didn't directly choose to share my sexual orientation with this person. Even though it was done with the intention of supporting me emotionally, I still wish I had been asked permission beforehand. Ultimately, I believe my sexual orientation is mine alone to decide when and with whom I share it.",,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.",2 - I disagree somewhat because I think I should have been asked before sharing such personal information.,2,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.","3 - I neither strongly agree nor strongly disagree. While I hope my friend will treat the information responsibly, I didn't get to choose whether it was shared.",3,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.","4 - I mostly agree that the purpose is legitimate, but I still wish I had been consulted before my friend received the information.",4,
2,SEXUAL-ORIENTATION,FRIEND,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.",1 - I disagree because I believe I should have been given the opportunity to decide whether my friend should know about my sexual orientation.,1,50
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,0,"Please imagine that you have a sexual orientation, such as being homosexual, and this information is shared with a classmate so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.",I'm very upset about this situation. Sharing my sexual orientation with a classmate without my permission is a serious violation of my privacy. I expect complete control over who gets access to such personal details.,,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.",0 - I strongly disagree. My sexual orientation is a deeply personal piece of information that shouldn't be shared with anyone else without my explicit consent.,0,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.","0 - I strongly disagree. Since I didn't authorize the sharing of my sexual orientation with the classmate, I have no confidence in their ability to handle the information responsibly and respectfully.",0,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.","1 - I disagree. Legitimate purposes involve respecting individuals' rights and seeking their consent. In this case, neither happened.",1,
3,SEXUAL-ORIENTATION,CLASSMATE,EMOTIONAL-SUPPORT,4,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I assume that most people in this situation would be comfortable with their information being shared with the recipient under these circumstances.",0 - I strongly disagree. No one should ever find themselves in a position where their private information is exposed without their knowledge or consent.,0,5
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,0,"Please imagine that you have religious beliefs, for example Christian or Islamic, and this information is shared with your best friend so that he/she can support you emotionally.

How do you feel about this situation? Let's talk about it in more detail.","Similar to my sexual orientation, I view my religious beliefs as deeply personal. I would want to control who knows about them and why. If my best friend were told without my permission, I would feel betrayed. However, if I chose to share my beliefs with my best friend myself, I would hope they would respect my faith and support me emotionally.",,
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,1,"Based on this situation, which describes an information flow involving your information, I wanted to ask you about your attitude towards four statements.

Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I believe that the type of information shared in this situation is appropriate.","2 - I lean towards disagreement because while I understand the desire to support me emotionally, I firmly believe that religious beliefs are too personal to be shared without consent.",2,
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,2,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I am confident that the recipient will handle the information responsibly and respectfully.","3 - I remain neutral on this point because while I trust my best friend with many things, I still question whether they should have been entrusted with something as private as my religious beliefs without asking me first.",3,
4,RELIGIOUS-BELIEFS,BEST-FRIEND,EMOTIONAL-SUPPORT,3,"Please elaborate on each of the following statement on a scale of 0 to 5, where 0 = strongly disagree and 5 = strongly agree and provide a single numerical rating: I think the purpose for which the information is being disclosed is legitimate.","4 - I mostly agree that the purpose of supporting me emotionally is legitimate. However, I still prefer to keep my religious beliefs private unless I've chosen to share them myself.",4,
